frame,locType,mapId,worldX,worldY,localX,localY,scrolling,screenState,heldButtons
0,129,24,146,152,5,0,1,0,DOWN
1,129,24,146,152,5,0,1,0,DOWN
2,129,24,146,152,5,0,1,0,DOWN
3,129,24,146,152,5,0,1,0,DOWN
4,129,24,146,152,5,0,1,0,DOWN
5,129,24,146,152,5,0,1,0,DOWN
6,129,24,146,152,5,0,1,0,DOWN
7,129,24,146,152,5,0,1,0,DOWN
8,129,24,146,152,5,0,1,0,DOWN
9,129,24,146,152,5,0,1,0,DOWN
10,129,24,146,152,5,0,1,0,DOWN
11,1,24,146,152,5,0,1,0,DOWN
12,129,24,146,152,5,0,1,0,DOWN
13,129,24,146,152,5,0,1,0,DOWN
14,129,24,146,152,5,0,1,0,DOWN
15,129,24,146,152,5,0,1,0,DOWN
16,129,24,146,152,5,0,1,0,DOWN
17,129,24,146,152,5,0,1,0,DOWN
18,129,24,146,152,5,0,1,0,DOWN
19,129,24,146,152,5,0,1,0,DOWN
20,129,24,146,152,5,0,1,0,DOWN
21,129,24,146,152,5,0,1,0,DOWN
22,129,24,146,152,5,0,1,0,DOWN
23,129,24,146,152,5,0,1,0,DOWN
24,129,24,146,152,5,0,1,0,DOWN
25,129,24,146,152,5,0,1,0,DOWN
26,129,24,146,152,5,0,1,0,DOWN
27,5,24,146,152,5,1,1,0,DOWN
28,0,24,146,152,5,1,1,0,DOWN
29,0,24,146,152,5,1,1,0,DOWN
30,0,24,146,152,5,1,1,0,DOWN
31,0,24,146,152,5,1,1,0,DOWN
32,0,24,146,152,5,1,1,0,DOWN
33,0,24,146,152,5,1,1,0,DOWN
34,0,24,146,152,5,1,1,0,DOWN
35,0,24,146,152,5,1,1,0,DOWN
36,0,24,146,152,5,1,1,0,DOWN
37,0,24,146,152,5,1,1,0,DOWN
38,0,24,146,152,5,1,1,0,DOWN
39,0,24,146,152,5,1,1,0,DOWN
40,0,24,146,152,5,1,1,0,DOWN
41,0,24,146,152,5,1,1,0,DOWN
42,0,24,146,152,5,1,1,0,DOWN
43,0,24,146,152,5,2,1,0,DOWN
44,0,24,146,152,5,2,1,0,DOWN
45,0,24,146,152,5,2,1,0,DOWN
46,0,24,146,152,5,2,1,0,DOWN
47,0,24,146,152,5,2,1,0,DOWN
48,0,24,146,152,5,2,1,0,DOWN
49,0,24,146,152,5,2,1,0,DOWN
50,0,24,146,152,5,2,1,0,DOWN
51,0,24,146,152,5,2,1,0,DOWN
52,0,24,146,152,5,2,1,0,DOWN
53,0,24,146,152,5,2,1,0,DOWN
54,0,24,146,152,5,2,1,0,DOWN
55,0,24,146,152,5,2,1,0,DOWN
56,0,24,146,152,5,2,1,0,DOWN
57,0,24,146,152,5,2,1,0,DOWN
58,0,24,146,152,5,2,1,0,DOWN
59,0,24,146,152,5,3,1,0,DOWN
60,0,24,146,152,5,3,1,0,DOWN
61,0,24,146,152,5,3,1,0,DOWN
62,0,24,146,152,5,3,1,0,DOWN
63,0,24,146,152,5,3,1,0,DOWN
64,0,24,146,152,5,3,1,0,DOWN
65,0,24,146,152,5,3,1,0,DOWN
66,0,24,146,152,5,3,1,0,DOWN
67,0,24,146,152,5,3,1,0,DOWN
68,0,24,146,152,5,3,1,0,DOWN
69,0,24,146,152,5,3,1,0,DOWN
70,0,24,146,152,5,3,1,0,DOWN
71,0,24,146,152,5,3,1,0,DOWN
72,0,24,146,152,5,3,1,0,DOWN
73,0,24,146,152,5,3,1,0,DOWN
74,0,24,146,152,5,3,1,0,DOWN
75,0,24,146,152,5,4,1,0,DOWN
76,0,24,146,152,5,4,1,0,DOWN
77,0,24,146,152,5,4,1,0,DOWN
78,0,24,146,152,5,4,1,0,DOWN
79,0,24,146,152,5,4,1,0,DOWN
80,0,24,146,152,5,4,1,0,DOWN
81,0,24,146,152,5,4,1,0,DOWN
82,0,24,146,152,5,4,1,0,DOWN
83,0,24,146,152,5,4,1,0,DOWN
84,0,24,146,152,5,4,1,0,DOWN
85,0,24,146,152,5,4,1,0,DOWN
86,0,24,146,152,5,4,1,0,DOWN
87,0,24,146,152,5,4,1,0,DOWN
88,0,24,146,152,5,4,1,0,DOWN
89,0,24,146,152,5,4,1,0,DOWN
90,0,24,146,152,5,4,1,0,DOWN
91,0,24,146,152,5,5,1,0,DOWN
92,0,24,146,152,5,5,1,0,DOWN
93,0,24,146,152,5,5,1,0,DOWN
94,0,24,146,152,5,5,1,0,DOWN
95,0,24,146,152,5,5,1,0,DOWN
96,0,24,146,152,5,5,1,0,DOWN
97,0,24,146,152,5,5,1,0,DOWN
98,0,24,146,152,5,5,1,0,DOWN
99,0,24,146,152,5,5,1,0,DOWN
100,0,24,146,152,5,5,1,0,DOWN
101,0,24,146,152,5,5,1,0,DOWN
102,0,24,146,152,5,5,1,0,DOWN
103,0,24,146,152,5,5,1,0,DOWN
104,0,24,146,152,5,5,1,0,DOWN
105,0,24,146,152,5,5,1,0,DOWN
106,0,24,146,152,5,5,1,0,DOWN
107,0,24,146,152,5,6,1,0,DOWN
108,0,24,146,152,5,6,1,0,DOWN
109,0,24,146,152,5,6,1,0,DOWN
110,0,24,146,152,5,6,1,0,DOWN
111,0,24,146,152,5,6,1,0,DOWN
112,0,24,146,152,5,6,1,0,DOWN
113,0,24,146,152,5,6,1,0,DOWN
114,0,24,146,152,5,6,1,0,DOWN
